article,article_title,date_published,main_image
"The ability to breastfeed is important to many mothers-to-be as more and more women choose to feed their newborn infants natural breast milk over synthesized formula. While it’s best to wait until you’ve finished having children to undergo , simply having breast implants shouldn’t prevent you from growing your family and breastfeeding your kids.August was National Breastfeeding Month, and our plastic surgeon in Orlando wants to shed some light on some of the common misconceptions about  and a woman’s ability to breastfeed including:Most women with breast implants go on to breastfeed without difficulty. There are multiple options for breast augmentation such as the type of implant (saline or silicone),  and the incision site for the procedure. If the periareolar incision (around the nipple) is used, you could experience loss of nipple sensation and nerve damage, which may make it difficult to breastfeed. Implants positioned beneath the pectoral muscle using an incision through the armpit or under the fold of the breasts will have the least impact on breastfeeding abilities. However, breast augmentation may affect how much milk you’re able to produce.Breast implants are made of silicone or saline, and both are FDA-approved. Some women are concerned materials in their implants will leak into breast milk, but this is highly unlikely to occur, even in the event of an implant rupture. Additionally, there’s no evidence that implant presence will harm a breastfed baby. Saline implants are filled with salt-water, and healthcare professionals feel that if saline were to seep into breast milk, it would still be safe. Silicone is not easily absorbed and is unlikely to interfere with the health of a baby breastfeeding as well.Women with breast implants or who are considering breast augmentation may think that breast implants lead to misshapen or sagging breasts after pregnancy and breastfeeding, but this effect is actually caused by hormones and impacts the breast tissue and glands themselves. A  can correct this sagging effect once you’ve completed breastfeeding and your breast tissue has returned to normal.There are many reasons a woman may not be able to breastfeed, and breast implants are rarely the cause. However, the plastic surgeon you choose will have an enormous impact on your results and your breastfeeding options. Make sure you go with a board-certified plastic surgeon to ensure you reach your aesthetic goals safely without damaging your breast glands, nerves and milk ducts.If you’re interested in breast augmentation, please contact Dr. Hartog in Orlando today at to discuss your breast surgery options. Our board-certified plastic surgeon serves clients in Orlando, Winter Park and surrounding Central Florida areas. ",3 Myths about Breastfeeding & Breast Augmentation,"September 13, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/breast-augmentation-breastfeeding-florida-plastic-surgeon_0-200x301.jpg
"Women with breast cancer go through a whirlwind of physical and psychological pain during their fight against this destructive and deadly disease. In order to win that battle, many breast cancer patients undergo single or double mastectomies, which often takes away a piece of their femininity. Our , Dr. Hartog, understands the devastation that comes with a breast cancer diagnoses as his wife, Michelle Hartog, is a cancer survivor herself.Mrs. Hartog underwent bilateral mastectomies, and she then had  using her own body fat. She and Dr. Hartog are passionate about helping other women overcome the difficulties they face during and following breast cancer.Breast reconstruction through fat transfer offers many benefits such as a natural look that doesn’t require foreign objects in your body. The fat is typically removed from an area of your body that has unwanted fat such as your abdomen or thighs. Other advantages of fat transfer breast augmentation include:October is breast cancer awareness month, and our board-certified plastic surgeon is ready to help restore your body following a mastectomy.If you’ve had breast cancer, please contact Dr. Hartog in Winter Park today at  to schedule your consultation. Dr. Hartog and our experienced staff serve patients in Winter Park, Orlando, and surrounding Central Florida areas. ",Restoring Breasts After Cancer with Your Own Fat ,"October 30, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/breast-cancer-surgeon-central-florida_0-301x227.jpg
"It’s almost 2017, and that means you are likely making resolutions and plans for a better you in the new year. At the Bougainvillea Clinique in Winter Park, Florida, we can help you look your best in 2017 with a variety of plastic surgery options.How would you like to transform your look in 2017?Learn more about your plastic surgery options for the new year; call the Bougainvillea Clinique today at to schedule your consultation with Dr. Jeffrey Hartog. We welcome patients from throughout the Winter Park and Orlando, Florida region.",Find Your Best Look in 2017: Explore Your Plastic Surgery Options,"December 30, 2016",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/2017-plastic-surgey-goals-300x200.jpg
"Breast augmentation is the most popular plastic surgery for women in the U.S., but breast enhancement doesn't always involve breast implants.  is a safe, effective and natural way to increase breast size, and the procedure is even scarless. Our plastic surgeon in Winter Park uses the  to make the most of your fat grafting and provide predictable results. There are a few steps to the fat grafting process, and Dr. Hartog has developed his own technique to minimize the recovery time you'll need after surgery while also maximizing your outcome.Your fatty tissue is the best material to use for breast augmentation because it eradicates the common concerns with breast implants such as capsular contracture, loss of sensation in your nipples, implant deflation and visible rippling.The three main steps of fat transfer breast augmentation include:Fat transfer breast augmentation is a natural way to enhance the size of your breasts and has a two-for-one benefit because your fat cells are harvested from an area with unwanted fat such as your ""love handles,"" abdomen, thighs or buttocks. Women who have had children and struggle with excess fat and loose, sagging breast tissue are ideal candidates for this plastic surgery. Breast cancer survivors can also use fat transfer for  after having a mastectomy.If you're interested in fat transfer breast surgery or "","" you will need to:Schedule your breast surgery consultation at The Bougainvillea Clinique Cosmetic Surgery and Medical Day Spa in Central Florida today at Dr. Hartog and our skilled staff serve clients in Orlando, Winter Park and surrounding areas of Central Florida. ",How Does Fat Transfer Breast Augmentation Work?,"September 6, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/at-transfer-breast-aug-florida-plastic-surgeon-300x223.jpg
"The tummy tuck (abdominoplasty) procedure can give you the figure you’ve been unable to achieve through diet and exercise. This plastic surgery provides many benefits, but to be a candidate for a , you’ll need to meet several criteria and be psychologically ready to undergo invasive surgery. The best candidates for tummy tucks typically include women who’ve had children or individuals who have lost a significant amount of weight and struggle with excess loose skin.The ideal candidate for a tummy tuck has:Many patients speculate that a tummy tuck is the same as or similar to , but that’s far from the case. Liposuction is a standalone procedure which uses a cannula to suction out unwanted fat, whereas a tummy tuck involves removing excess skin and tightening muscles in the abdomen. These procedures can be done in conjunction to provide optimal body contouring.If you’re wondering if you qualify for this procedure, schedule your tummy tuck consultation with our board-certified plastic surgeon in Winter Park today at . The Bougainvillea Clinique offers cosmetic surgery and medical day spa services to clients in Central Florida including Orlando and Winter Park. ",What You Need to Qualify for a Tummy Tuck,"September 11, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/tummy-tuck-plastic-surgeon-florida_0-300x300.jpg
" is a component of your blood that is rich with growth factors and useful in numerous cosmetic enhancement procedures. PRP is obtained by harvesting your own blood and spinning it in a high-speed centrifuge to concentrate the platelet. The enhanced growth factor of PRP makes it ideal for stimulating growth and repair in skin and other soft tissues. As a cosmetic surgery patient, you can benefit from PRP with:Are you interested in refreshing your look with PRP? Call the Bougainvillea Clinique today at to schedule your consultation with Dr. Jeffrey Hartog. We welcome patients from throughout the Winter Park and Orlando, Florida region.",How Platelet Rich Plasma (PRP) Can Rejuvenate Your Look,"January 3, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/prp-florida-300x199.jpg
"We are already a month into 2017, and men and women across America are scheduling their consultations and treatment appointments to enhance their bodies for the new year. What is likely to be trending throughout 2017?Are you ready to take the first step toward your cosmetic goals this year? Call the Bougainvillea Clinique today at to schedule your consultation with Dr. Jeffrey Hartog to discuss your options in detail. We welcome patients from throughout the Winter Park and Orlando, Florida region.",2017 Plastic Surgery Trends Predicted ,"February 7, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/2017-plastic-surgies-300x207.jpg
"Plastic surgery is a popular way to improve your appearance and your self-confidence. More than 15 million procedures are performed each year. However, there is a lot of misinformation that circulates about plastic surgery. In this blog, we debunk three of the most common myths.Wrong. Although many over-the-counter creams really are a waste of time and money, the clinically proven  system is FDA-cleared and can reduce the appearance of cellulite for at least two years. Cellfina is a minimally invasive treatment with minimal downtime that provides long-lasting results.Not true. This misconception has been around as long as liposuction itself.  is a body contouring procedure that does remove fat from unwanted areas, such as your abdomen or thighs. However, patients should be near their ideal weight. Only a small amount of fat is removed during the procedure in order to sculpt the treatment area and provide astonishing looking results.It really shouldn’t. A skilled plastic surgeon can turn back the hands of time on your facial appearance without making your results look like you’ve “had work done.” The goal of a  is to revitalize your appearance by correcting flaws such as sagging skin and jowls to give you a more youthful appearance.To learn more about plastic surgery and explore your options for facial and body rejuvenation, call the Bougainvillea Clinique today at to schedule your consultation with Dr. Jeffrey Hartog. We welcome patients from throughout the Winter Park and Orlando, Florida region.",Common Plastic Surgery Myths Debunked,"February 21, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/plastic-surgery-myths-325x217.jpg
"You may have heard recent media reports regarding breast implants and a rare form of cancer. The FDA recently updated information regarding this disease (Breast Implant Associated-Anaplastic Large Cell Lymphoma (BIA-ALCL)). The American Society of Plastic Surgeons is working closely with the FDA in monitoring the disease.BIA-ALCL is not a breast cancer, but a rare and treatable T-cell lymphoma that usually develops as a fluid swelling around breast implants. The lifetime risk for this disease appears to be about 1 case for every 30,000 textured implants. This equates to a 0.003 percent risk.   Rather, the FDA recommends, as do I, that every woman conduct regular self-examination. If you develop swelling or a lump in your breast, contact my office right away. I will comprehensively evaluate you and order the appropriate tests to determine if any treatment is indicated.Some patients may require additional treatment (such as radiation or chemotherapy). Following removal, replacement with a smooth surface implant may be an option.For additional information about BIA-ALCL, consult the American Society of Plastic Surgeons website at . Of course, I am happy to answer your questions personally.I greatly appreciate having you as one of my patients, and will continue to monitor these developments closely. I promise to keep you informed of any new developments.",A note about Breast Implant Associated-Anaplastic Large Cell Lymphoma (BIA-ALCL)  ,"March 24, 2017",http://www.lookandfeelbetter.com
"Before undergoing any form of surgery, it’s important to know what to expect before, during and after your procedure. There are many details involved in breast augmentation, and you have more options available to you than you may realize. Women choose to have  for numerous reasons such as to correct uneven breasts, rejuvenate breasts after having children or to simply increase size and shape.If you’re considering breast augmentation, ask your plastic surgeon these questions and any others you may have:If you’re interested in breast augmentation, please contact Dr. Hartog in Winter Park today at to schedule your consultation. The Bougainvillea Clinique provides cosmetic surgery and medical spa services to clients in Winter Park, Orlando and surrounding Central Florida areas.  ",Breast Augmentation Questions You Need to Ask Your Plastic Surgeon,"April 17, 2017",http://www.lookandfeelbetter.com/sites/www.lookandfeelbetter.com/files/resize/breast-augmentation-questions-plastic-surgeon-Orlando_0-300x200.jpg
