article,article_title,category,date_published,main_image
" 147Call it what you will – ear gauging, tunneling, stretching, or an indiscretion of youth – but it is a dying trend. “Lots of my friends and rock bands had these big holes in their ears. I thought, ‘That’s interesting, something rebellious to do, I guess,’” one 19-year-old told the recently. Yet, he was finding as he prepares himself for a career that “a lot of places are not looking to hire someone with big holes in their ears.”Holes that are less than half an inch in diameter can shrink back on their own, but some people have ear lobe holes three times as big. The most extreme case is Hawaiian Kala Kaiwi, whose ears are almost 4 inches in diameter – large enough to fit a fist through! According to ear lobe repair surgery is not only the fastest growing cosmetic surgery in the UK, but a growing trend in America, too. Who seeks earlobe repair surgery?For most patients Dr. David Halpern sees, it’s about finding work in a sluggish economy. There are punk rockers who went back to school to become teachers. There are avid golfers who wish to join the Professional Golfers’ Association and compete. The U.S. Army has a policy that earlobes greater than 1.66 millimeters in diameter won’t be tolerated. Some people feel the original stretching wasn’t done properly and led to an undesirable result. Other patients are teenagers who have finally grown tired of the hassle from their parents. Regardless of your reason, Dr. David Halpern is a triple-board-certified cosmetic surgeon in Tampa Bay, FL who specializes in reconstructive surgeries.  What is earlobe surgery like?Dr. David Halpern has found that no two cases are exactly alike and there is no standardized method to fix the unique shape of a person’s ear, so it all boils down to the skill of the surgeon and an individual consultation to determine the best technique. At the initial consultation, medical history and aesthetic goals will be discussed. Is earlobe repair safe and effective?The safety profile of this surgery is excellent. Dr. David Halpern reviews risk factors with all patients to ensure they are a good fit for the surgery. Need your earlobes fixed? +1",Young Professionals Seeking Earlobe Repair Surgery On the Rise,"Blog,News,Specials","March 12, 2015,July 10, 2017 / 8:23 am",
Nordlys by Ellipse laser treatments offer greater comfort and convenience while treating your most frustrating skin issues.Click To Tweet,Treat Unsightly Veins and More with Nordlys by Ellipse Laser Treatments,"Laser Treatment,Nordlys","February 13, 2018",
"Dr. David Halpern is a board-certified plastic surgeon Tampa, Florida.Not all plastic surgeons are created equal! To get the best results from your cosmetic procedure, be sure to choose a board-certified plastic surgeon.Click To Tweet",The Dangers of Hiring an Unqualified Plastic Surgeon,Patient Safety,"February 1, 2018,March 22, 2018 / 3:38 pm",
 79LifestyleLiftLifestyleLiftLifestyleLiftLifestyleLiftliftLifestyleLiftLifestyleLifestyleLiftLifestyleLift +1,"Lifestyle Lift Closes Its Doors, Highlighting Patient Safety Concerns","Blog,News,Patient Safety","March 23, 2015,January 04, 2016 / 1:12 pm",
" 90Dr. David Halpern is offering up to 100 units of  for the forehead, crows feet and glabella area for just $375 on June 23rd from 9am-2pm.  +1",Dysport Special in Tampa: One Day Only,"Blog,News,Specials","June 8, 2015",
" 178Summer always seems to sneak up on us. As soon as the warmer weather hits, we’re thinking about squeezing into dresses, bringing tank tops out of storage, and laying out on the beach. Yet, by this time, it’s too late to fix your body with diet and exercise, which could take months to show results. There are certain cosmetic issues that can’t be resolved through conventional methods – like stubborn pot bellies or sagging breasts. It’s Strawberry Madness! Lose 2-3 Inches or More – Without Surgery!The  is a non-invasive, FDA-approved laser treatment that reduces fat cell size and melts excess fat tissue, which is expelled from the body as waste. Each 20-minute session can take away 1-3 inches from one’s waistline. The recommended number of treatments is eight, spaced one week apart.Breast augmentation & lifts and/or  is the perfect complement to Strawberry Laser waist-shrinking treatment, which you can also book with Dr. David Halpern. A breast lift is one of the most popular aesthetic procedures, according to the American Society of Plastic Surgeons. The number of breast lifts have grown 70% since 2000, outpacing breast implants 2-to-1.A breast lift can:Reduce an enlarged areolaWhether your shape has changed due to pregnancy and breastfeeding, weight change, aging, or heredity, a breast lift may help you get that perfect bikini body. If, however, you want your breasts to look fuller and have lost volume or have always had smaller breasts, you will need breast augmentation surgery to reach your goals. Why Dr. David Halpern?Tampa residents and visitors come to see  for their bikini bodies for:Dr. David Halpern is triple-board-certified in plastic surgery, general surgery, and micro-hand surgery. His plastic surgery credentials come from the respected American Society of Plastic Surgeons.Dr. David Halpern has more than 15 years of surgical experience, right here in Tampa.Dr. David Halpern has appeared on TV shows like and ALL Strawberry Laser and breast augmentations are done by Dr. David Halpern himself in his state-accredited surgical facility. He also has practicing privileges at Tampa Bay General Hospital.  Dr. David Halpern has special offers a few times a year. For more information on breast surgeries and non-invasive laser body contouring, call  or contact the office of Dr. David Halpern by email.  +1",Get Beach Body Ready with Our Spring Specials,"Blog,News,Specials,Strawberry Laser","March 16, 2015",
,10 Benefits of a Breast Augmentation,Breast,"April 17, 2018,April 24, 2018 / 11:17 am",
 102RadiesseDysport Special at RadiesseDysport is also offering 60-80 units of Dysport for your forehead and crows feet for only $375.  has the expertise and experience to provide the best results and the utmost in safety and comfort.Contact us today to stock up on  and get your skin in top shape for the holidays.*NOTE: Dr. David Halpern and Tampa Bay Plastic Surgery Inc. are in no way affiliated with or receiving paid sponsorships from the products mentioned above.  +1,Radiesse and Dysport Tampa Special,"Blog,News,Specials","October 27, 2015",
" 214Tampa Bay Plastic Surgery is helping area residents put their best face forward for the holidays with a new set of promotions running from now through December 2015. Sometimes called a “Liquid Facelift,” Dr. David Halpern injects advanced dermal fillers like  to reduce the appearance of wrinkles and folds, gently lift drooping facial features, restore natural contours and provide patients with a more rested, friendlier appearance. Botox, Dysport and Xeomin injections can be used in conjunction with dermal fillers to provide added lift, extend the lifespan of the fillers and (to some degree) prevent the formation of new wrinkles caused by involuntary facial spasms. If you know and where to look, you can find great deals on facial fillers and injectables, without sacrificing safety or quality.Sculptra is an FDA-approved dermal filler made from poly-L-lactic acid – the same type of material used in dissolvable stitches. It works to replace lost collagen in locations like the: nasolabial folds / “smile lines” between the nose and mouth; “marionette lines” framing your mouth; and chin wrinkles. The number of sessions and vials depends upon the patient’s condition and is determined with a patient consultation. The average patient may need anywhere from one to three Sculptra injections done, usually spaced 4-6 weeks apart. A general rule of thumb is to expect about one vial for every decade of life. So, if you’re 40, that’s four vials (with two vials injected, done in two sessions). If you’re 50, that’s five vials (two vials the first session, two vials the second session and 1 vial the third session). The good news is that the results can last as long as two years. Both Restylane and Perlane are FDA-approved dermal fillers comprised of non-allergenic hyaluronic acid, a naturally occurring substance that enhances skin plumpness.Restylane and Perlane add volume and fullness to the skin to correct moderate to severe wrinkles and folds. Areas of the face commonly treated include: hollowed cheeks, deep nasolabial folds, lips, marionette lines and jowls. Typically, Restylane treats more superficial lines and wrinkles, while Perlane is used for larger areas and deeper creases.Conveniently, your full treatment will be injected all on the same day. Most patients can get by with one syringe of Restylane, but up to four injections of Perlane may be needed to restore volume in the cheek area. Restylane and Perlane injections last from six to 12 months. Dysport, Botox and Xeomin are FDA-approved injections synthesized from Botulinum Toxin A.Unlike fillers, which restore volume, these injections work to temporarily paralyze the muscles responsible for involuntary facial spasms that create unwanted wrinkles. Treatment areas include: fine “crow’s feet eye” wrinkles, deep forehead creases and “frown line” furrows between the eyebrows (also sometimes referred to as “glabellar lines”). Your , Dysport or Xeomin treatment can be done during one visit, for one price. The treatment generally lasts from three to six months, but some patients report noticeable effects for up to nine months. Why Dr. David Halpern?Don’t trust your face with just anyone! Dr. David Halpern is a triple-board-certified plastic surgeon in South Tampa with extensive credentials and experience using these products. Unlike some practices where technicians or assistants do the work, ALL INJECTIONS are done SOLELY by Dr. David Halpern. He also has experience using one’s own fat for facial fillers (as well as ) in innovative procedures we call “.”  +1",Put Your Best Face Forward With Fall Facial Filler & Injectables Promo,"Blog,News,Specials","September 16, 2015",
" 115 is the leading cosmetic procedure in America, with over 6.6 million injections done in 2014. More than 4 million people have opted for soft tissue dermal fillers and hyaluronic acid injections to soothe the effects of aging. Growing consumer education has fueled the popularity of such treatments, but plastic surgeons like  of  find that a number of people have “read something online” or “heard from a friend” these myths about injectables.While various injectable products reduce the appearance of wrinkles, they work in different ways: Botulinum Toxin A, Dysport and Xeomin are muscle relaxants that weaken the overactive muscles responsible for causing deep frown lines and eyebrow furrows to develop. Though they are derived from a toxin, the injectable is carefully purified and dosed out to provide the desired effect. By contrast,  like Juvederm, Radiesse, Perlane, Restylane, and Sculptraare made from gel-like substances that rest below the skin, adding lost volume, filling in wrinkles and often stimulating collagen production to restore smoothness to the skin.   People often take the leap into cosmetic procedures with Botox or a filler like Juvederm. Minimally invasive injections are a great way to plump thin lips, soften the appearance of creases and wrinkles, reduce scar appearance, and enhance natural contours. There is a limit to what one can achieve with injectables, however. “For some patients, surgery such as a facelift, brow lift, or eye lift may be the best approach,” states the American Society of Plastic Surgeons.  Tighten or repair lax skinReposition deep tissuesFix saggy jowls or Also, keep in mind, injection results do not last anywhere near as long as , so if you’re not willing to come in for regular maintenance as you would with hair highlights, then a facelift may be the better option. Booking a consultation with Dr. David Halpern can help you explore the pros and cons. Needles scare a lot of people, but cosmetic injections are nothing like getting a tetanus shot at the doctor’s office. Only a small amount of liquid is delivered, so the needle used is rather small. After a small “pinch,” the redness fades quickly, with little to no swelling and bruising. Though pain tolerances vary, most people would rate it 2.5 on a 1 to 10 pain scale. Sometimes doctors use local anesthetic or a topical numbing agent, but fillers like Juvederm already contain Lidocaine to decrease discomfort. When you receive your injection from a highly trained and experienced professional, you’ll find injectables are a nearly pain-free experience. Everyone wants a natural enhancement that leaves them looking more youthful and refreshed. Newer recommendations regarding dosage and optimal injection locations have made it easier for trained professionals to deliver natural results for their patients. The majority of patients achieve natural results by seeking a qualified plastic surgeon to perform the injection and following important instructions. For instance, to avoid bruising and swelling, patients are instructed to avoid medications like Advil, Aleve and Aspirin that thin the blood for a week before and after the injection. On rare occasions, celebrities seek too many injections, leading to that stereotypical “overdone” look. Unscrupulous surgeons may advocate multiple types of fillers when they aren’t necessary just to make more money. While using more than one filler is recommended in some cases, it’s not the proper solution for every patient. A good plastic surgeon knows the difference. When done correctly and in proper moderation, injections diminish wrinkles, while still allowing room for expressivenessSome people think “Botox is Botox. You can get it for $100 at a spa, or pay a lot more to get it from a doctor.” While there is a set price for Botox set by manufacturer Allergan, you will sometimes see deep discounts offered by people with less training or – worse yet – crooks offering fake, adulterated Botox. Keep in mind, some fillers simply cost more because they last longer. Those rare catastrophic results we hear about in the news are often caused by a lack of medical training and improper technique.   Some fillers can last up to a year, but Botox only lasts three months. Repeated injections are necessary to maintain the results. If patients are 100% satisfied with the results from Juvederm and Restylane, a reversing agent called hyaluronidase can break up the hyaluronic acid and immediately eliminate the effects. Sun exposure without adequate protection can also diminish the length of time the product lasts. While patients are advised not to work out for 24 hours after their injections, it is a myth that exercise decreases the effectiveness of dermal fillers and Botox injections. If you are looking for a more permanent solution, a surgical facelift is another option to consider. +1",Top Myths About Injectables You Need to Know,"Blog,Injectables,News","November 23, 2015",
